loan_id|bought_home_before|credit_score|dti|is_insured|ltv|multi_borrowers|orig_rate|prop_type|purpose|state|delq
F105Q1067124|1|711|38|0|80|1|5.875|1-4 Fee simple|Cash-out refinance|others|1
F105Q1257968|1|803|21|0|30|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258071|1|791|14|0|64|1|4.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258127|0|657|37|0|50|0|5.25|1-4 Fee simple|Purchase|others|0
F105Q1258137|1|647|18|0|57|1|5.125|1-4 Fee simple|No cash-out refinance|others|1
F105Q1258187|1|751|24|0|62|0|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258193|1|710|38|0|66|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258204|1|788|23|0|62|0|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258226|1|752|16|0|41|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258278|1|700|48|0|36|1|5.125|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1258280|1|741|59|0|17|1|5.5|1-4 Fee simple|Cash-out refinance|CA|0
F105Q1258288|1|787|38|0|39|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258300|1|752|21|0|38|1|5.0|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1258344|1|703|24|0|80|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258355|1|672|42|0|28|1|5.0|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1258361|1|749|21|0|32|1|5.5|Planned unit development|Cash-out refinance|FL|0
F105Q1258365|1|784|22|0|49|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258370|1|787|23|0|44|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258389|1|775|29|0|21|1|5.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258415|1|676|35|0|47|0|5.375|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258425|1|742|36|0|33|1|5.625|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258426|1|717|43|0|80|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258441|1|686|54|0|63|1|4.875|1-4 Fee simple|No cash-out refinance|others|1
F105Q1258445|1|790|31|1|85|0|4.75|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1258453|1|783|28|0|41|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258459|1|668|39|0|55|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258493|1|773|30|0|38|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258519|1|777|29|0|24|1|5.15|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258528|1|808|35|0|40|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258538|1|790|42|0|24|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258559|1|767|31|0|51|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258560|1|776|32|0|67|0|5.5|Manufactured housing|No cash-out refinance|others|0
F105Q1258578|1|686|56|0|80|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258585|1|734|19|0|28|1|5.25|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1258601|1|782|8|0|43|0|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258650|1|806|21|0|47|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258660|1|624|36|0|72|1|5.375|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1258665|1|653|37|0|25|0|5.5|Planned unit development|No cash-out refinance|GA|1
F105Q1258670|1|766|41|0|24|1|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258701|1|783|33|0|67|1|4.625|1-4 Fee simple|Purchase|LA|0
F105Q1258702|1|741|24|0|74|1|4.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258703|1|675|16|0|70|0|4.625|1-4 Fee simple|Cash-out refinance|LA|1
F105Q1258704|1|730|49|0|63|1|4.875|Planned unit development|Cash-out refinance|others|0
F105Q1258727|1|777|999|0|16|0|5.25|1-4 Fee simple|Purchase|NY|0
F105Q1258735|1|698|37|0|71|0|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258767|1|707|30|0|28|1|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258774|1|791|30|0|40|1|5.25|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1258816|1|715|49|0|70|1|5.25|1-4 Fee simple|Cash-out refinance|WI|0
F105Q1258862|1|774|25|0|55|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258875|1|739|24|0|32|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258883|1|743|35|0|55|1|5.25|1-4 Fee simple|Purchase|NY|0
F105Q1258916|1|727|41|0|80|1|5.5|Planned unit development|No cash-out refinance|others|0
F105Q1258918|1|727|19|0|38|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258923|1|753|35|0|30|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258924|1|803|5|0|41|0|5.125|1-4 Fee simple|No cash-out refinance|CA|0
F105Q1258925|1|775|41|0|76|1|4.875|1-4 Fee simple|Cash-out refinance|MN|0
F105Q1258926|1|705|25|0|19|1|4.75|1-4 Fee simple|No cash-out refinance|NY|0
F105Q1258930|1|710|25|0|75|1|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258931|1|667|25|0|30|1|4.875|Condo|Purchase|MI|0
F105Q1258932|1|670|27|0|36|1|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1258933|1|685|40|0|56|1|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258934|1|811|21|0|19|1|4.875|Planned unit development|Purchase|others|0
F105Q1258959|1|722|50|0|18|0|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1258964|1|782|40|0|60|1|5.5|Manufactured housing|Cash-out refinance|others|0
F105Q1259094|1|778|21|0|37|0|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259107|1|798|38|0|47|1|5.0|1-4 Fee simple|No cash-out refinance|TN|0
F105Q1259111|1|781|999|0|28|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259164|1|769|21|0|71|0|5.875|1-4 Fee simple|No cash-out refinance|TN|0
F105Q1259190|1|816|28|0|78|0|5.0|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259230|1|761|14|0|27|1|5.75|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1259236|1|703|34|0|80|1|5.125|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1259239|1|747|29|0|54|1|5.125|1-4 Fee simple|Cash-out refinance|PR|0
F105Q1259242|1|738|24|0|56|1|5.125|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1259254|1|772|23|0|31|1|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259268|1|787|30|0|38|1|5.625|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259276|1|739|34|0|68|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259299|1|781|34|0|50|1|5.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259305|1|725|46|0|57|0|5.125|Condo|Cash-out refinance|FL|0
F105Q1259306|1|777|15|0|23|1|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259307|1|769|48|0|50|1|5.0|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259308|1|770|999|0|64|1|4.875|1-4 Fee simple|Purchase|others|0
F105Q1259309|1|632|46|0|80|1|4.875|1-4 Fee simple|Cash-out refinance|others|1
F105Q1259314|1|659|23|0|74|1|5.625|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259325|1|763|30|0|45|1|5.125|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1259358|0|770|18|0|43|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259371|1|730|33|0|80|1|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259392|1|661|38|0|69|1|5.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259434|1|680|43|0|70|1|6.0|Condo|Cash-out refinance|others|0
F105Q1259439|1|778|51|0|50|0|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259508|1|616|32|0|54|0|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259518|1|759|22|0|22|1|5.375|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259578|1|813|34|0|53|0|5.375|Condo|No cash-out refinance|MI|0
F105Q1259592|0|790|21|0|53|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259595|1|655|31|0|27|1|5.5|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259623|1|688|21|0|61|1|4.875|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259624|1|797|44|0|34|1|4.625|Planned unit development|No cash-out refinance|CA|0
F105Q1259625|1|800|24|0|50|0|4.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259626|1|721|6|0|12|1|4.875|1-4 Fee simple|No cash-out refinance|MI|0
F105Q1259635|1|772|43|0|45|1|4.625|1-4 Fee simple|Cash-out refinance|MI|0
F105Q1259636|1|718|44|0|59|0|4.5|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259637|1|797|27|0|80|0|4.625|1-4 Fee simple|Purchase|others|0
F105Q1259638|1|780|22|0|36|1|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259639|1|739|19|0|59|1|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259640|1|792|22|0|42|0|4.5|1-4 Fee simple|No cash-out refinance|WI|0
F105Q1259641|1|782|32|0|74|1|4.875|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259642|1|778|28|0|27|1|5.0|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259643|1|770|9|0|47|1|4.75|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259644|1|685|26|0|69|1|4.75|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259654|1|785|25|0|40|1|5.125|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259663|1|788|13|0|51|1|5.25|1-4 Fee simple|Cash-out refinance|others|0
F105Q1259665|1|728|21|0|62|1|5.25|Planned unit development|Cash-out refinance|others|0
F105Q1259684|1|811|16|0|41|1|5.125|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259696|1|804|25|0|80|1|5.25|1-4 Fee simple|No cash-out refinance|others|0
F105Q1259709|1|637|43|0|80|1|5.375|1-4 Fee simple|Cash-out refinance|MI|0
